arriveRate, tillNum, maxLength, averageWaitLimit, waitLimitSD, averageServeTime, serveTimeSD
2.000, 1, 5, 20.000, 2.000, 3.000, 1.500
0: beingServed=0, peopleInQueue=1, fulfilled=0, unfulfilled=0, timed_out=0
1: beingServed=1, peopleInQueue=1, fulfilled=0, unfulfilled=0, timed_out=0
2: beingServed=1, peopleInQueue=3, fulfilled=0, unfulfilled=0, timed_out=0
3: beingServed=1, peopleInQueue=5, fulfilled=0, unfulfilled=0, timed_out=0
4: beingServed=1, peopleInQueue=5, fulfilled=1, unfulfilled=0, timed_out=0
5: beingServed=1, peopleInQueue=5, fulfilled=1, unfulfilled=1, timed_out=0
6: beingServed=1, peopleInQueue=5, fulfilled=2, unfulfilled=2, timed_out=0
7: beingServed=1, peopleInQueue=5, fulfilled=2, unfulfilled=5, timed_out=0
8: beingServed=1, peopleInQueue=5, fulfilled=3, unfulfilled=6, timed_out=0
9: beingServed=1, peopleInQueue=5, fulfilled=3, unfulfilled=9, timed_out=0
10: beingServed=1, peopleInQueue=5, fulfilled=4, unfulfilled=9, timed_out=0
11: beingServed=1, peopleInQueue=5, fulfilled=4, unfulfilled=11, timed_out=0
12: beingServed=1, peopleInQueue=5, fulfilled=4, unfulfilled=13, timed_out=0
13: beingServed=1, peopleInQueue=5, fulfilled=4, unfulfilled=15, timed_out=0
14: beingServed=1, peopleInQueue=5, fulfilled=5, unfulfilled=15, timed_out=0
15: beingServed=1, peopleInQueue=5, fulfilled=5, unfulfilled=16, timed_out=0
16: beingServed=1, peopleInQueue=5, fulfilled=6, unfulfilled=18, timed_out=0
17: beingServed=1, peopleInQueue=5, fulfilled=6, unfulfilled=20, timed_out=0
18: beingServed=1, peopleInQueue=5, fulfilled=6, unfulfilled=22, timed_out=0
19: beingServed=1, peopleInQueue=5, fulfilled=6, unfulfilled=23, timed_out=0
20: beingServed=1, peopleInQueue=5, fulfilled=7, unfulfilled=24, timed_out=0
21: beingServed=1, peopleInQueue=5, fulfilled=7, unfulfilled=26, timed_out=0
22: beingServed=1, peopleInQueue=5, fulfilled=7, unfulfilled=28, timed_out=0
23: beingServed=1, peopleInQueue=5, fulfilled=7, unfulfilled=31, timed_out=0
24: beingServed=1, peopleInQueue=5, fulfilled=7, unfulfilled=32, timed_out=0
25: beingServed=1, peopleInQueue=4, fulfilled=8, unfulfilled=32, timed_out=0
26: beingServed=1, peopleInQueue=5, fulfilled=8, unfulfilled=32, timed_out=0
27: beingServed=1, peopleInQueue=5, fulfilled=8, unfulfilled=33, timed_out=0
28: beingServed=1, peopleInQueue=5, fulfilled=8, unfulfilled=35, timed_out=0
29: beingServed=1, peopleInQueue=5, fulfilled=9, unfulfilled=36, timed_out=0
30: beingServed=1, peopleInQueue=5, fulfilled=10, unfulfilled=38, timed_out=0
31: beingServed=1, peopleInQueue=5, fulfilled=10, unfulfilled=39, timed_out=0
32: beingServed=1, peopleInQueue=5, fulfilled=10, unfulfilled=41, timed_out=0
33: beingServed=1, peopleInQueue=5, fulfilled=10, unfulfilled=41, timed_out=0
34: beingServed=1, peopleInQueue=4, fulfilled=11, unfulfilled=41, timed_out=0
35: beingServed=1, peopleInQueue=5, fulfilled=11, unfulfilled=41, timed_out=0
36: beingServed=1, peopleInQueue=5, fulfilled=12, unfulfilled=41, timed_out=0
37: beingServed=1, peopleInQueue=5, fulfilled=13, unfulfilled=42, timed_out=0
38: beingServed=1, peopleInQueue=5, fulfilled=13, unfulfilled=44, timed_out=0
